"Year","Brunei","Cambodia","Indonesia","Laos","Malaysia","Myanmar","Philippines","Singapore","Thailand","Timor.Leste","Viet.Nam","The number of computer"
1988,0,0,1e+05,0,70000,0,120000,120000,1e+05,0,0,46363.6363636364
1989,0,0,150000,0,1e+05,0,160000,160000,150000,0,0,65454.5454545455
1990,0,0,2e+05,0,150000,0,210000,2e+05,230000,0,0,90000
1991,0,0,260000,0,230000,0,260000,230000,3e+05,0,0,116363.636363636
1992,3000,0,370000,0,410000,0,333000,3e+05,450000,0,10000,170545.454545455
1993,5000,0,520000,0,5e+05,0,410000,350000,570000,0,20000,215909.090909091
1994,8000,0,710000,0,640000,0,530000,5e+05,680000,0,50000,283454.545454545
1995,11000,5000,980000,0,650000,0,660000,7e+05,810000,0,1e+05,356000
1996,13000,7000,1300000,5000,760000,0,810000,950000,1e+06,0,2e+05,458636.363636364
1997,15000,9000,1600000,8000,1030000,0,970000,1240000,1200000,0,3e+05,579272.727272727
1998,17000,11000,1700000,10000,1360000,0,1100000,1450000,1300000,0,4e+05,668000
1999,20000,13000,1900000,12000,1800000,50000,1260000,1700000,1382000,0,5e+05,785181.818181818
2000,23000,15000,2100000,14000,2200000,1e+05,1480000,1941000,1714000,0,6e+05,926090.909090909
2001,25000,20000,2300000,16000,3e+06,150000,1700000,2100000,2003000,0,7e+05,1092181.81818182
2002,27000,27000,2519000,18000,3600000,250000,2200000,2330000,2461000,0,8e+05,1293818.18181818
2003,29000,38000,2759000,20000,4200000,3e+05,2847000,2540000,3024000,0,1610000,1578818.18181818
2004,31000,44000,3022000,22000,4900000,325000,3684000,2750000,3716000,0,3318000,1982909.09090909
2005,33000,48000,3285000,1e+05,5600000,4e+05,4521000,2960000,4408000,0,5812000,2469727.27272727
