"Year","Brunei","Cambodia","Indonesia","Laos","Malaysia","Myanmar","Philippines","Singapore","Thailand","Timor.Leste","Viet.Nam","The number of mobile phone"
2000,95000,130547,3669327,12681,5121748,13397,6454359,2747400,3056000,0,788559,2008092.54545455
2001,143004,223458,6520947,29545,7385000,22671,12159163,2991600,7550000,0,1251195,3479689.36363636
2002,153647,380000,11700000,55160,9053000,47982,15383001,3313000,17449890,0,1902388,5403460.72727273
2003,177365,498388,18495251,112275,11124000,66517,22509560,3577000,21616910,20058,2742000,7358120.36363636
2004,202454,861500,30336607,204191,14611000,92452,32935875,3990700,26965548,25722,4960000,10471459
2005,232900,1062000,46909972,657528,19545000,128700,34778995,4384600,30460238,33072,9593200,13435109.5454545
2006,301400,1721650,63803015,1009565,19463722,214214,42868911,4788600,40125470,49100,18892480,17567102.4545455
2007,366138,2583318,93386881,1478409,23347000,247641,57344815,5924100,52973994,78215,45024048,25704959.9090909
2008,398857,4237000,140578243,2022133,27713000,367388,68117167,6414800,61837164,125002,74872310,35153005.8181818
2009,412882,6268000,163676961,3234642,30144000,502005,75586646,6884800,65952313,350891,98223980,41021556.3636364
2010,435104,8150764,211290235,4003395,33858700,594000,83150138,7384600,71726300,473020,111570201,48421496.0909091
2011,443161,13757000,249805619,5480851,36661300,1243619,94189795,7794300,77449000,614151,127318045,55886985.5454545
2012,469740,19105115,281963665,4300000,41324700,3729617,101978345,8067600,85012000,621000,131673724,61658682.3636364
2013,468814,2026414,313226914,4612612,43005000,6832380,102823569,8438100,93849000,650000,123735557,63606214.5454545
2014,452054,20451982,325582819,4618586,44928600,29029342,111326045,8103800,97096000,1375749,136148124,70828463.7272727
2015,463384,20850543,338426000,3727162,44110998,41529282,120255000,8211400,84797000,1376669,122000000,71431585.2727273
